DATEPRD,BORE_OIL_VOL
05-10-2008,3377.17
06-10-2008,2126.84
07-10-2008,2726.28
08-10-2008,2719.29
09-10-2008,2713.82
10-10-2008,2720.48
11-10-2008,2739.75
12-10-2008,2824.96
13-10-2008,2827.75
14-10-2008,2829.21
15-10-2008,2825.33
16-10-2008,2825.29
17-10-2008,2832.05
18-10-2008,2520.4
19-10-2008,2714.13
20-10-2008,2664.34
21-10-2008,2653.43
22-10-2008,3420.75
23-10-2008,3363.1
24-10-2008,3426.21
25-10-2008,3524.62
26-10-2008,3836.99
27-10-2008,3622.02
28-10-2008,3728.48
29-10-2008,2822.93
30-10-2008,3471.47
31-10-2008,3515.61
01-11-2008,2758.29
02-11-2008,4443.46
03-11-2008,4938.78
04-11-2008,5124.32
05-11-2008,5188.07
06-11-2008,5204.11
07-11-2008,5136.25
08-11-2008,5141.34
09-11-2008,5114.03
10-11-2008,5059.68
11-11-2008,5076.6
12-11-2008,5065.13
13-11-2008,5083.98
14-11-2008,5106.19
15-11-2008,5097.33
16-11-2008,5082.14
17-11-2008,5076.81
18-11-2008,5074.4
19-11-2008,5223.41
20-11-2008,5116.54
21-11-2008,3553.89
22-11-2008,5033.51
23-11-2008,4831.15
24-11-2008,4971.19
25-11-2008,5062.55
26-11-2008,5145.94
27-11-2008,5200.4
28-11-2008,2897.09
29-11-2008,4853.4
30-11-2008,5255.58
01-12-2008,5095.38
02-12-2008,5276.15
03-12-2008,5333.02
04-12-2008,5434.56
05-12-2008,5209.39
06-12-2008,5292.17
07-12-2008,5322.5
08-12-2008,5241.8
09-12-2008,5277.55
10-12-2008,5286.4
11-12-2008,5126.1
12-12-2008,5239.81
13-12-2008,5281.86
14-12-2008,5302.74
15-12-2008,5270.91
16-12-2008,5300.99
17-12-2008,5338.2
18-12-2008,5377.18
19-12-2008,5386.94
20-12-2008,5417.44
21-12-2008,5472.22
22-12-2008,5497.25
23-12-2008,5513.05
24-12-2008,5508.26
25-12-2008,5491.41
26-12-2008,5497.48
27-12-2008,5571.07
28-12-2008,5495.65
29-12-2008,5507.18
30-12-2008,5527.55
31-12-2008,5547.46
01-01-2009,5556.56
02-01-2009,5555.73
03-01-2009,5727.05
04-01-2009,5589.89
05-01-2009,5629.04
06-01-2009,4672.3
07-01-2009,5621.9
08-01-2009,5901.84
09-01-2009,5644.01
10-01-2009,5869.78
11-01-2009,5716.64
12-01-2009,5458.46
13-01-2009,5110.2
14-01-2009,5267.76
15-01-2009,4526.49
16-01-2009,4385
17-01-2009,4234.92
18-01-2009,4352.4
19-01-2009,4426.35
20-01-2009,4298.53
21-01-2009,4123.6
22-01-2009,4350.84
23-01-2009,4499.42
24-01-2009,4473.36
25-01-2009,4494.66
26-01-2009,4425.1
27-01-2009,4425.36
28-01-2009,4967.11
29-01-2009,5586.1
30-01-2009,4398.31
31-01-2009,4388.45
01-02-2009,5224.6
02-02-2009,4401.95
03-02-2009,4422.08
04-02-2009,5437.81
05-02-2009,4487.91
06-02-2009,4430.31
07-02-2009,2738.23
08-02-2009,4189.32
09-02-2009,4258.6
10-02-2009,4393
11-02-2009,4431.4
12-02-2009,4498.08
13-02-2009,3944.99
14-02-2009,4330.62
15-02-2009,4221.09
16-02-2009,4056.66
17-02-2009,4479.41
18-02-2009,4436.07
19-02-2009,4434.21
20-02-2009,4439.64
21-02-2009,3876.08
22-02-2009,4535.89
23-02-2009,4498.48
24-02-2009,4487.34
25-02-2009,4036.23
26-02-2009,4421.95
27-02-2009,4359.66
28-02-2009,4433.4
01-03-2009,4448.63
02-03-2009,4592.63
03-03-2009,4638.29
04-03-2009,4474.26
05-03-2009,2440.8
06-03-2009,4366.16
07-03-2009,3360.6
08-03-2009,4021.37
09-03-2009,4197.14
10-03-2009,4692.91
11-03-2009,5414.32
12-03-2009,4870.32
13-03-2009,3676.71
14-03-2009,0
15-03-2009,613.72
16-03-2009,1409.33
17-03-2009,0
18-03-2009,3449.39
19-03-2009,4321.87
20-03-2009,4217.85
21-03-2009,4440.66
22-03-2009,4437.68
23-03-2009,4418.22
24-03-2009,4353.47
25-03-2009,723.91
26-03-2009,0
27-03-2009,0
28-03-2009,0
29-03-2009,0
30-03-2009,456.47
31-03-2009,4922
01-04-2009,5287.84
02-04-2009,5144.72
03-04-2009,4733.54
04-04-2009,4497.69
05-04-2009,4536
06-04-2009,5544.62
07-04-2009,5677.96
08-04-2009,5143.67
09-04-2009,5237.66
10-04-2009,5605.38
11-04-2009,5595.21
12-04-2009,5377.85
13-04-2009,4985.07
14-04-2009,4997.55
15-04-2009,5316.56
16-04-2009,5112.74
17-04-2009,4838.54
18-04-2009,5271.47
19-04-2009,5613.54
20-04-2009,4906.23
21-04-2009,4845.36
22-04-2009,4018.17
23-04-2009,4752.83
24-04-2009,4789.55
25-04-2009,4813.6
26-04-2009,4855.76
27-04-2009,4871.19
28-04-2009,4882.81
29-04-2009,4842.11
30-04-2009,4860.46
01-05-2009,4860.67
02-05-2009,4814.28
03-05-2009,4812.61
04-05-2009,438.93
06-05-2009,3551.6
07-05-2009,4446.68
08-05-2009,4815.42
09-05-2009,4805.75
10-05-2009,4892.7
11-05-2009,4810.91
12-05-2009,4771.11
13-05-2009,4684.63
14-05-2009,4712.31
15-05-2009,4733.92
16-05-2009,4741.22
17-05-2009,4745.17
18-05-2009,5227.04
19-05-2009,5013.35
20-05-2009,5010.5
21-05-2009,5030.59
22-05-2009,5037.15
23-05-2009,4796.2
24-05-2009,4763.66
25-05-2009,4851.33
26-05-2009,4911.6
27-05-2009,4925.85
28-05-2009,4940.31
29-05-2009,5096.84
30-05-2009,5406.74
31-05-2009,5389.94
01-06-2009,5469.32
02-06-2009,5497.96
03-06-2009,5888.69
04-06-2009,5509.13
05-06-2009,5521.14
06-06-2009,3891.66
07-06-2009,5264.7
08-06-2009,5422.42
09-06-2009,5357.49
10-06-2009,5346.85
11-06-2009,4218.09
12-06-2009,4995.2
13-06-2009,4132.22
14-06-2009,4668.7
15-06-2009,4994.99
16-06-2009,5262.8
17-06-2009,5081.09
18-06-2009,5037.77
19-06-2009,5054.35
20-06-2009,5122.69
21-06-2009,3421.75
22-06-2009,3345
23-06-2009,3393.7
24-06-2009,3399.54
25-06-2009,3234.13
26-06-2009,2864.24
27-06-2009,2727.37
28-06-2009,2723.71
29-06-2009,2793.58
30-06-2009,2789.43
01-07-2009,2775.48
02-07-2009,2766.16
03-07-2009,2761.91
04-07-2009,2747.27
05-07-2009,2746.36
06-07-2009,3414.92
07-07-2009,3404.37
08-07-2009,3501.35
09-07-2009,3500.07
10-07-2009,3485.7
11-07-2009,3514.43
12-07-2009,3523.09
13-07-2009,3564.05
14-07-2009,3514.2
15-07-2009,3450.9
16-07-2009,3446.15
17-07-2009,3450.11
18-07-2009,3395.67
19-07-2009,2808.21
20-07-2009,3443.72
21-07-2009,3714.36
